"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
27,",352,51789,547,19.37258,18.09829,17.46679,17.08733,16.841,20.7443,20.72195,-17.83562,-19.08342,-19.78515,-20.18739,-20.40945,-16.6291,-16.65146,1.27429,2.28525,0.6315,1.01096,0.37946,0.24633,0.02235,1.37172,1.34937,2.64601,2.62366,3.27751,3.25516,3.65697,3.63462,3.9033,3.88095,0.06713"
28,",353,51703,387,19.12595,17.89203,17.31311,16.92394,16.69643,20.72194,19.89979,-17.47027,-18.66424,-19.34195,-19.74532,-19.95823,-16.05909,-16.88124,1.23392,2.20201,0.57892,0.96809,0.38917,0.22751,0.82215,1.59599,0.77384,2.82991,2.00776,3.40883,2.58668,3.798,2.97585,4.02551,3.20336,0.05169"
29,",355,51788,575,19.5574,17.87993,17.09182,16.70573,16.44545,23.72613,22.23074,-17.06251,-18.69944,-19.59759,-20.02373,-20.25516,-13.10652,-14.6019,1.67747,2.85167,0.78811,1.1742,0.38609,0.26028,1.49539,4.16873,2.67334,5.8462,4.35081,6.63431,5.13892,7.0204,5.52501,7.28068,5.78529,0.05288"
30,",371,52078,594,19.30521,17.97326,17.31658,16.9572,16.74695,21.37618,20.58661,-17.91288,-19.2185,-19.94585,-20.3561,-20.5149,-16.00901,-16.79858,1.33195,2.34801,0.65668,1.01606,0.35938,0.21025,0.78957,2.07097,1.2814,3.40292,2.61335,4.0596,3.27003,4.41898,3.62941,4.62923,3.83966,0.06748"
31,",372,52173,67,19.5195,17.99326,17.2057,16.8017,16.54732,21.53906,21.69089,-17.52382,-19.0189,-19.89314,-20.35971,-20.55809,-15.6941,-15.54227,1.52624,2.7178,0.78756,1.19156,0.404,0.25438,-0.15183,2.01956,2.17139,3.5458,3.69763,4.33336,4.48519,4.73736,4.88919,4.99174,5.14357,0.06312"
32,",372,52173,149,19.44839,17.95235,17.16131,16.79068,16.50348,22.02395,21.14663,-17.59816,-19.0631,-19.94079,-20.37434,-20.6053,-15.21262,-16.08995,1.49604,2.65771,0.79104,1.16167,0.37063,0.2872,0.87732,2.57556,1.69824,4.0716,3.19428,4.86264,3.98532,5.23327,4.35595,5.52047,4.64315,0.06321"
33,",373,51788,79,19.788,18.20643,17.3926,16.99326,16.68899,22.91919,22.09778,-17.00424,-18.54878,-19.46497,-19.92612,-20.17929,-14.08012,-14.90153,1.58157,2.79474,0.81383,1.21317,0.39934,0.30427,0.82141,3.13119,2.30978,4.71276,3.89135,5.52659,4.70518,5.92593,5.10452,6.2302,5.40879,0.05693"
34,",375,52140,20,18.94157,17.91422,17.45744,17.16367,17.01476,20.50482,19.98855,-17.97356,-18.96822,-19.50243,-19.82306,-19.93716,-16.56834,-17.08461,1.02735,1.7779,0.45678,0.75055,0.29377,0.14891,0.51627,1.56325,1.04698,2.5906,2.07433,3.04738,2.53111,3.34115,2.82488,3.49006,2.97379,0.05882"
35,",376,52143,460,18.95704,17.89043,17.36673,17.01124,16.82151,20.31576,19.7351,-18.41979,-19.46467,-20.04465,-20.4443,-20.58341,-17.20878,-17.78944,1.06661,1.9458,0.5237,0.87919,0.35549,0.18973,0.58066,1.35872,0.77806,2.42533,1.84467,2.94903,2.36837,3.30452,2.72386,3.49425,2.91359,0.07173"
36,",377,52145,618,18.42529,17.55931,17.07964,16.71989,16.58553,19.94464,19.37944,-18.59495,-19.43051,-19.98373,-20.38218,-20.47078,-17.23285,-17.79805,0.86598,1.7054,0.47967,0.83942,0.35975,0.13436,0.5652,1.51935,0.95415,2.38533,1.82013,2.865,2.2998,3.22475,2.65955,3.35911,2.79391,0.06159"
