"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
515,",1455,53089,375,19.25022,18.15594,17.61161,17.22918,17.07134,20.713,20.30461,-17.86075,-18.92649,-19.54272,-19.93097,-20.0785,-16.55883,-16.96723,1.09428,2.02104,0.54433,0.92676,0.38243,0.15784,0.40839,1.46278,1.05439,2.55706,2.14867,3.10139,2.693,3.48382,3.07543,3.64166,3.23327,0.0642"
516,",1456,53115,353,18.56323,17.51239,17.05255,16.68504,16.53841,19.54919,19.10676,-18.59402,-19.61778,-20.14336,-20.51914,-20.64927,-17.75842,-18.20085,1.05084,1.87819,0.45984,0.82735,0.36751,0.14663,0.44243,0.98596,0.54353,2.0368,1.59437,2.49664,2.05421,2.86415,2.42172,3.01078,2.56835,0.06522"
517,",1460,53138,92,18.53243,17.62175,17.1561,16.79629,16.66512,20.00819,19.1188,-18.94719,-19.83914,-20.3531,-20.71403,-20.83537,-17.61026,-18.49965,0.91068,1.73614,0.46565,0.82546,0.35981,0.13117,0.88939,1.47576,0.58637,2.38644,1.49705,2.85209,1.9627,3.2119,2.32251,3.34307,2.45368,0.07474"
518,",1463,53063,307,18.67031,17.77088,17.22797,16.82048,16.60617,20.35865,19.76109,-18.3943,-19.26409,-19.88128,-20.29773,-20.49874,-16.86856,-17.46611,0.89943,1.84983,0.54291,0.9504,0.40749,0.21431,0.59756,1.68834,1.09078,2.58777,1.99021,3.13068,2.53312,3.53817,2.94061,3.75248,3.15492,0.06295"
519,",1464,53091,149,19.80462,18.03918,17.18716,16.78287,16.50351,24.12617,22.76367,-17.3468,-19.08348,-20.01829,-20.44627,-20.70978,-13.21493,-14.57743,1.76544,3.02175,0.85202,1.25631,0.40429,0.27936,1.3625,4.32155,2.95905,6.08699,4.72449,6.93901,5.57651,7.3433,5.9808,7.62266,6.26016,0.06619"
520,",1464,53091,629,18.90715,17.89856,17.5514,17.25945,17.11739,20.01387,19.65336,-18.03336,-19.01032,-19.42809,-19.70633,-19.84873,-17.07069,-17.43119,1.00859,1.6477,0.34716,0.63911,0.29195,0.14206,0.36051,1.10672,0.74621,2.11531,1.7548,2.46247,2.10196,2.75442,2.39391,2.89648,2.53597,0.05912"
521,",1465,53082,158,19.23453,18.11594,17.61678,17.32922,17.10969,20.91322,20.19068,-17.73344,-18.82033,-19.39656,-19.69241,-19.89764,-16.21606,-16.9386,1.11859,1.90531,0.49916,0.78672,0.28756,0.21953,0.72254,1.67869,0.95615,2.79728,2.07474,3.29644,2.5739,3.584,2.86146,3.80353,3.08099,0.0603"
522,",1465,53082,555,20.02935,18.32281,17.49964,17.09905,16.79692,22.72915,22.07473,-17.13907,-18.81738,-19.72106,-20.14914,-20.43025,-14.62507,-15.27948,1.70654,2.9303,0.82317,1.22376,0.40059,0.30213,0.65442,2.6998,2.04538,4.40634,3.75192,5.22951,4.57509,5.6301,4.97568,5.93223,5.27781,0.06657"
523,",1465,53082,592,19.84268,18.04836,17.17607,16.77122,16.48368,23.48041,23.53712,-17.26453,-19.0289,-19.98766,-20.42401,-20.68935,-13.82138,-13.76466,1.79432,3.07146,0.87229,1.27714,0.40485,0.28754,-0.05671,3.63773,3.69444,5.43205,5.48876,6.30434,6.36105,6.70919,6.7659,6.99673,7.05344,0.06505"
524,",1571,53174,462,18.29504,17.47812,17.20376,16.92958,16.89532,19.45128,19.01004,-18.74222,-19.53,-19.86712,-20.15208,-20.15893,-17.71935,-18.16059,0.81692,1.36546,0.27436,0.54854,0.27418,0.03426,0.44124,1.15624,0.715,1.97316,1.53192,2.24752,1.80628,2.5217,2.08046,2.55596,2.11472,0.0614"
525,",1572,53177,390,18.65638,17.71978,17.37355,17.10002,17.04002,19.91186,19.51731,-18.18979,-19.09272,-19.51353,-19.80417,-19.8335,-17.08043,-17.47497,0.9366,1.55636,0.34623,0.61976,0.27353,0.06,0.39455,1.25548,0.86093,2.19208,1.79753,2.53831,2.14376,2.81184,2.41729,2.87184,2.47729,0.05676"
526,",1572,53177,573,19.09659,17.80777,17.20888,16.88971,16.65012,20.14455,20.02773,-17.51908,-18.76823,-19.46623,-19.81508,-20.02564,-16.65802,-16.77485,1.28882,2.20688,0.59889,0.91806,0.31917,0.23959,0.11682,1.04796,0.93114,2.33678,2.21996,2.93567,2.81885,3.25484,3.13802,3.49443,3.37761,0.05218"
527,",1573,53226,475,18.71273,17.58354,17.03497,16.68605,16.48267,19.55152,18.99321,-18.11948,-19.21376,-19.8485,-20.23095,-20.39773,-17.4529,-18.01121,1.12919,2.02668,0.54857,0.89749,0.34892,0.20338,0.55831,0.83879,0.28048,1.96798,1.40967,2.51655,1.95824,2.86547,2.30716,3.06885,2.51054,0.05706"
528,",1580,53145,127,19.09185,17.96876,17.45337,17.07819,16.88689,20.55601,20.07247,-17.84676,-18.93742,-19.53212,-19.92724,-20.09347,-16.54686,-17.0304,1.12309,2.01366,0.51539,0.89057,0.37518,0.1913,0.48354,1.46416,0.98062,2.58725,2.10371,3.10264,2.6191,3.47782,2.99428,3.66912,3.18558,0.0596"
529,",1582,52939,14,18.95044,18.09826,17.53825,17.1755,17.05776,20.27441,19.81316,-18.40763,-19.23746,-19.85615,-20.24702,-20.33152,-17.23525,-17.6965,0.85218,1.77494,0.56001,0.92276,0.36275,0.11774,0.46125,1.32397,0.86272,2.17615,1.7149,2.73616,2.27491,3.09891,2.63766,3.21665,2.7554,0.07127"
530,",1584,52943,223,18.76186,17.86669,17.48754,17.11942,17.04096,20.26289,19.37852,-18.59558,-19.46903,-19.90025,-20.28654,-20.33532,-17.23068,-18.11505,0.89517,1.64244,0.37915,0.74727,0.36812,0.07846,0.88437,1.50103,0.61666,2.3962,1.51183,2.77535,1.89098,3.14347,2.2591,3.22193,2.33756,0.07077"
531,",1587,52964,60,18.99827,17.93629,17.34555,16.95703,16.7606,20.88241,19.95739,-18.18021,-19.21512,-19.87609,-20.292,-20.45813,-16.45874,-17.38377,1.06198,2.04124,0.59074,0.97926,0.38852,0.19643,0.92502,1.88414,0.95912,2.94612,2.0211,3.53686,2.61184,3.92538,3.00036,4.12181,3.19679,0.06619"
532,",1587,52964,232,18.8442,17.9294,17.53542,17.26294,17.16901,20.89714,19.83605,-18.49411,-19.38664,-19.83425,-20.12344,-20.18968,-16.5792,-17.64029,0.9148,1.58126,0.39398,0.66646,0.27248,0.09393,1.06109,2.05294,0.99185,2.96774,1.90665,3.36172,2.30063,3.6342,2.57311,3.72813,2.66704,0.07024"
533,",1590,52974,613,19.50162,18.08381,17.36551,16.99534,16.75542,21.55567,20.95453,-17.58491,-18.97289,-19.77221,-20.16701,-20.38543,-15.71102,-16.31217,1.41781,2.50628,0.7183,1.08847,0.37017,0.23992,0.60114,2.05405,1.45291,3.47186,2.87072,4.19016,3.58902,4.56033,3.95919,4.80025,4.19911,0.06406"
534,",1593,52991,410,18.66199,17.71765,17.36941,17.06384,16.93537,19.79644,19.25679,-18.57164,-19.49122,-19.89658,-20.195,-20.31778,-17.574,-18.11366,0.94434,1.59815,0.34824,0.65381,0.30557,0.12847,0.53965,1.13445,0.5948,2.07879,1.53914,2.42703,1.88738,2.7326,2.19295,2.86107,2.32142,0.06705"
535,",1594,52992,526,19.185,18.11352,17.51723,17.1789,17.02742,20.0638,19.78837,-18.20021,-19.24994,-19.90457,-20.24791,-20.39034,-17.4747,-17.75013,1.07148,2.0061,0.59629,0.93462,0.33833,0.15148,0.27543,0.8788,0.60337,1.95028,1.67485,2.54657,2.27114,2.8849,2.60947,3.03638,2.76095,0.07217"
536,",1595,52999,203,19.03483,18.02735,17.60946,17.31142,17.18051,20.32307,20.01167,-17.55512,-18.52338,-19.03048,-19.32348,-19.44971,-16.4289,-16.7403,1.00748,1.72341,0.41789,0.71593,0.29804,0.13091,0.3114,1.28824,0.97684,2.29572,1.98432,2.71361,2.40221,3.01165,2.70025,3.14256,2.83116,0.05103"
537,",1598,53033,414,19.36157,18.17168,17.56863,17.18506,17.0217,20.05531,20.01087,-17.64796,-18.80667,-19.48972,-19.89418,-20.03531,-17.12573,-17.17018,1.18989,2.17651,0.60305,0.98662,0.38357,0.16336,0.04444,0.69374,0.6493,1.88363,1.83919,2.48668,2.44224,2.87025,2.82581,3.03361,2.98917,0.06169"
538,",1599,53089,395,19.4877,18.21006,17.59068,17.2491,17.06342,20.70166,20.36739,-17.55549,-18.80266,-19.50101,-19.86351,-20.02745,-16.51334,-16.84761,1.27764,2.2386,0.61938,0.96096,0.34158,0.18568,0.33427,1.21396,0.87969,2.4916,2.15733,3.11098,2.77671,3.45256,3.11829,3.63824,3.30397,0.06262"
539,",1599,53089,442,19.15175,18.08835,17.61414,17.23124,17.06191,19.83889,20.14386,-17.89084,-18.92437,-19.47075,-19.86725,-20.01562,-17.35956,-17.0546,1.0634,1.92051,0.47421,0.85711,0.3829,0.16933,-0.30497,0.68714,0.99211,1.75054,2.05551,2.22475,2.52972,2.60765,2.91262,2.77698,3.08195,0.06216"
540,",1600,53090,28,19.04025,17.62486,17.26889,17.08914,16.97946,21.49551,20.38511,-17.80061,-19.18218,-19.61349,-19.79781,-19.88985,-15.49284,-16.60324,1.41539,1.95111,0.35597,0.53572,0.17975,0.10968,1.1104,2.45526,1.34486,3.87065,2.76025,4.22662,3.11622,4.40637,3.29597,4.51605,3.40565,0.05666"
541,",1600,53090,558,18.64826,17.70515,17.23387,16.88775,16.70935,20.12145,19.57563,-18.48241,-19.39775,-19.93664,-20.29579,-20.45347,-17.16169,-17.70752,0.94311,1.76051,0.47128,0.8174,0.34612,0.1784,0.54582,1.47319,0.92737,2.4163,1.87048,2.88758,2.34176,3.2337,2.68788,3.4121,2.86628,0.06452"
542,",1601,53115,289,18.71887,17.71208,17.19872,16.81974,16.65114,20.82959,19.94708,-18.43107,-19.41039,-19.99222,-20.38228,-20.53383,-16.47646,-17.35897,1.00679,1.89913,0.51336,0.89234,0.37898,0.1686,0.88251,2.11072,1.22821,3.11751,2.235,3.63087,2.74836,4.00985,3.12734,4.17845,3.29594,0.06518"
543,",1601,53115,388,19.75722,18.2896,17.57758,17.17163,16.94206,22.29792,21.57371,-17.39056,-18.82987,-19.61903,-20.05017,-20.25681,-15.02606,-15.75027,1.46762,2.58559,0.71202,1.11797,0.40595,0.22957,0.72421,2.5407,1.81649,4.00832,3.28411,4.72034,3.99613,5.12629,4.40208,5.35586,4.63165,0.06569"
544,",1601,53115,514,18.76967,17.92571,17.58499,17.27353,17.14769,19.8935,19.45724,-18.03435,-18.84378,-19.26052,-19.57118,-19.6839,-17.05686,-17.49312,0.84396,1.49614,0.34072,0.65218,0.31146,0.12584,0.43626,1.12383,0.68757,1.96779,1.53153,2.30851,1.87225,2.61997,2.18371,2.74581,2.30955,0.05571"
545,",1609,53142,196,19.34685,18.15603,17.45475,17.0419,16.8144,21.60066,21.14581,-17.5298,-18.68597,-19.47918,-19.92068,-20.12381,-15.465,-15.91985,1.19082,2.30495,0.70128,1.11413,0.41285,0.2275,0.45485,2.25381,1.79896,3.44463,2.98978,4.14591,3.69106,4.55876,4.10391,4.78626,4.33141,0.05863"
546,",1611,53147,74,18.86903,18.01333,17.61383,17.30579,17.21861,20.33108,19.87731,-18.3554,-19.1859,-19.64514,-19.95725,-20.02958,-17.03545,-17.48922,0.8557,1.56324,0.3995,0.70754,0.30804,0.08718,0.45377,1.46205,1.00828,2.31775,1.86398,2.71725,2.26348,3.02529,2.57152,3.11247,2.6587,0.06693"
547,",1615,53166,508,18.86601,17.69735,17.16499,16.74224,16.57124,20.10258,19.8561,-18.47268,-19.61859,-20.20975,-20.64604,-20.79751,-17.38623,-17.63271,1.16866,2.12377,0.53236,0.95511,0.42275,0.171,0.24648,1.23657,0.99009,2.40523,2.15875,2.93759,2.69111,3.36034,3.11386,3.53134,3.28486,0.07062"
548,",1616,53169,245,18.72588,17.73975,17.46269,17.23124,17.20197,19.90827,19.44048,-18.65863,-19.62411,-19.94806,-20.1868,-20.1937,-17.60281,-18.0706,0.98613,1.49464,0.27706,0.50851,0.23145,0.02927,0.46779,1.18239,0.7146,2.16852,1.70073,2.44558,1.97779,2.67703,2.20924,2.7063,2.23851,0.07131"
549,",1618,53116,90,19.5012,18.13475,17.45568,17.07958,16.83989,22.18613,21.3617,-17.567,-18.90333,-19.66273,-20.07108,-20.28012,-15.05909,-15.88351,1.36645,2.42162,0.67907,1.05517,0.3761,0.23969,0.82443,2.68493,1.8605,4.05138,3.22695,4.73045,3.90602,5.10655,4.28212,5.34624,4.52181,0.06346"
550,",1618,53116,490,18.98656,17.94008,17.40746,17.04494,16.88434,20.54756,19.9254,-18.11695,-19.13476,-19.73915,-20.15308,-20.25731,-16.71589,-17.33805,1.04648,1.94162,0.53262,0.89514,0.36252,0.1606,0.62216,1.561,0.93884,2.60748,1.98532,3.1401,2.51794,3.50262,2.88046,3.66322,3.04106,0.06397"
551,",1620,53137,505,18.86961,17.76724,17.29846,16.97479,16.84132,20.0844,19.95829,-18.30883,-19.3846,-19.91841,-20.2482,-20.36765,-17.24456,-17.37067,1.10237,1.89482,0.46878,0.79245,0.32367,0.13347,0.12611,1.21479,1.08868,2.31716,2.19105,2.78594,2.65983,3.10961,2.9835,3.24308,3.11697,0.06584"
552,",1622,53385,609,18.66186,17.69051,17.33009,17.04125,16.9055,20.05966,19.41431,-18.51756,-19.46276,-19.88346,-20.16852,-20.29564,-17.25924,-17.90459,0.97135,1.62061,0.36042,0.64926,0.28884,0.13575,0.64535,1.3978,0.75245,2.36915,1.7238,2.72957,2.08422,3.01841,2.37306,3.15416,2.50881,0.06555"
553,",1624,53386,513,19.87772,18.28033,17.47917,17.0705,16.76948,21.4076,21.03653,-17.53193,-19.10753,-19.97242,-20.40564,-20.6845,-16.17006,-16.54113,1.59739,2.80722,0.80116,1.20983,0.40867,0.30102,0.37107,1.52988,1.15881,3.12727,2.7562,3.92843,3.55736,4.3371,3.96603,4.63812,4.26705,0.07342"
554,",1625,53140,335,19.53471,17.95418,17.18398,16.78453,16.52609,22.10223,20.98587,-17.8627,-19.42121,-20.25494,-20.67664,-20.91439,-15.46161,-16.57798,1.58053,2.75018,0.7702,1.16965,0.39945,0.25844,1.11636,2.56752,1.45116,4.14805,3.03169,4.91825,3.80189,5.3177,4.20134,5.57614,4.45978,0.07298"
555,",1626,53472,351,18.91527,18.02196,17.63009,17.33538,17.29228,20.4097,19.95398,-18.45897,-19.33095,-19.77447,-20.06913,-20.10124,-17.10125,-17.55696,0.89331,1.57989,0.39187,0.68658,0.29471,0.0431,0.45572,1.49443,1.03871,2.38774,1.93202,2.77961,2.32389,3.07432,2.6186,3.11742,2.6617,0.07131"
556,",1627,53473,299,20.27058,18.53876,17.6499,17.17345,16.83618,23.62969,22.09391,-17.13699,-18.84667,-19.80228,-20.30822,-20.62117,-13.95269,-15.48847,1.73182,3.09713,0.88886,1.36531,0.47645,0.33727,1.53578,3.35911,1.82333,5.09093,3.55515,5.97979,4.44401,6.45624,4.92046,6.79351,5.25773,0.07357"
557,",1627,53473,352,19.01991,17.99548,17.60797,17.33851,17.23759,20.03712,19.45719,-18.41118,-19.41581,-19.85175,-20.12233,-20.21096,-17.52848,-18.1084,1.02443,1.6814,0.38751,0.65697,0.26946,0.10092,0.57993,1.01721,0.43728,2.04164,1.46171,2.42915,1.84922,2.69861,2.11868,2.79953,2.2196,0.07304"
558,",1627,53473,533,19.72617,18.19596,17.40825,17.03731,16.79541,21.29039,22.10888,-17.37291,-18.87331,-19.74435,-20.14348,-20.3631,-15.99527,-15.17678,1.53021,2.68886,0.78771,1.15865,0.37094,0.2419,-0.81849,1.56422,2.38271,3.09443,3.91292,3.88214,4.70063,4.25308,5.07157,4.49498,5.31347,0.06459"
559,",1642,53115,226,18.87895,17.85143,17.35726,16.99646,16.83699,20.39435,20.03778,-17.98246,-18.97595,-19.55201,-19.91323,-20.06633,-16.63143,-16.98801,1.02752,1.88249,0.49417,0.85497,0.3608,0.15947,0.35657,1.5154,1.15883,2.54292,2.18635,3.03709,2.68052,3.39789,3.04132,3.55736,3.20079,0.0576"
560,",1644,53144,306,21.16862,18.41182,17.53586,16.83009,16.68631,19.8919,19.44477,-16.01364,-18.74237,-19.70008,-20.43559,-20.55796,-17.48024,-17.92738,2.7568,4.33853,0.87596,1.58173,0.70577,0.14378,0.44713,-1.27672,-1.72385,1.48008,1.03295,2.35604,1.90891,3.06181,2.61468,3.20559,2.75846,0.0671"
561,",1648,53171,558,18.70131,17.85249,17.53055,17.23505,17.16191,19.358,18.99127,-18.49181,-19.31497,-19.69486,-19.98449,-20.04949,-17.97033,-18.33706,0.84882,1.46626,0.32194,0.61744,0.2955,0.07314,0.36673,0.65669,0.28996,1.50551,1.13878,1.82745,1.46072,2.12295,1.75622,2.19609,1.82936,0.06582"
562,",1650,53174,374,19.75434,17.85484,17.06199,16.62957,16.2579,23.60094,21.64625,-17.55508,-19.43012,-20.29316,-20.75033,-21.10071,-13.88247,-15.83717,1.8995,3.12477,0.79285,1.22527,0.43242,0.37167,1.95469,3.8466,1.89191,5.7461,3.79141,6.53895,4.58426,6.97137,5.01668,7.34304,5.38835,0.07045"
563,",1652,53555,605,18.76072,17.82492,17.40194,17.09279,16.95305,20.37382,19.64786,-18.09861,-19.00066,-19.50182,-19.81554,-19.94113,-16.64104,-17.367,0.9358,1.66793,0.42298,0.73213,0.30915,0.13974,0.72596,1.6131,0.88714,2.5489,1.82294,2.97188,2.24592,3.28103,2.55507,3.42077,2.69481,0.05733"
564,",1653,53534,496,19.29383,17.72285,16.94789,16.54658,16.2686,21.0204,20.38554,-17.64584,-19.18328,-20.05037,-20.48922,-20.73684,-16.11361,-16.74847,1.57098,2.74725,0.77496,1.17627,0.40131,0.27798,0.63486,1.72657,1.09171,3.29755,2.66269,4.07251,3.43765,4.47382,3.83896,4.7518,4.11694,0.06042"
565,",1653,53534,535,18.79124,17.81157,17.60727,17.24549,17.12219,20.20183,19.63882,-17.96977,-18.9147,-19.18885,-19.53724,-19.6524,-16.68793,-17.25094,0.97967,1.54575,0.2043,0.56608,0.36178,0.1233,0.56301,1.41059,0.84758,2.39026,1.82725,2.59456,2.03155,2.95634,2.39333,3.07964,2.51663,0.05424"
566,",1653,53534,563,18.8641,17.91482,17.53057,17.15523,17.07552,20.68254,19.9823,-18.37895,-19.30356,-19.74597,-20.12428,-20.18963,-16.70056,-17.4008,0.94928,1.70887,0.38425,0.75959,0.37534,0.07971,0.70024,1.81844,1.1182,2.76772,2.06748,3.15197,2.45173,3.52731,2.82707,3.60702,2.90678,0.06742"
567,",1653,53534,601,18.56458,17.65739,17.27293,16.93207,16.81838,19.62589,19.31004,-18.86381,-19.75114,-20.18407,-20.52913,-20.62735,-17.93685,-18.2527,0.90719,1.63251,0.38446,0.72532,0.34086,0.11369,0.31585,1.06131,0.74546,1.9685,1.65265,2.35296,2.03711,2.69382,2.37797,2.80751,2.49166,0.07294"
568,",1656,53533,583,19.17582,17.70342,16.97104,16.57713,16.30839,20.2145,20.0242,-18.07713,-19.52381,-20.32773,-20.77097,-20.99235,-17.21062,-17.40092,1.4724,2.59869,0.73238,1.12629,0.39391,0.26874,0.1903,1.03868,0.84838,2.51108,2.32078,3.24346,3.05316,3.63737,3.44707,3.90611,3.71581,0.06868"
569,",1659,53224,572,18.49356,17.53717,17.12667,16.83245,16.75348,19.72017,19.4356,-18.51248,-19.43843,-19.91979,-20.23058,-20.28271,-17.43569,-17.72026,0.95639,1.66111,0.4105,0.70472,0.29422,0.07897,0.28457,1.22661,0.94204,2.183,1.89843,2.5935,2.30893,2.88772,2.60315,2.96669,2.68212,0.06101"
570,",1668,53433,394,19.06849,18.01549,17.57557,17.29738,17.16995,20.27334,19.7535,-17.97059,-18.99379,-19.50442,-19.77836,-19.90112,-16.9179,-17.43774,1.053,1.77111,0.43992,0.71811,0.27819,0.12743,0.51984,1.20485,0.68501,2.25785,1.73801,2.69777,2.17793,2.97596,2.45612,3.10339,2.58355,0.06196"
571,",1668,53433,573,18.58087,17.73495,17.45676,17.45014,17.15,19.02378,19.07526,-18.27166,-19.08437,-19.43314,-19.42192,-19.72278,-17.96598,-17.91449,0.84592,1.13073,0.27819,0.28481,0.00662,0.30014,-0.05148,0.44291,0.49439,1.28883,1.34031,1.56702,1.6185,1.57364,1.62512,1.87378,1.92526,0.05669"
572,",1669,53433,381,18.44553,17.44599,17.07004,16.93911,16.57871,19.08837,18.42684,-18.61498,-19.58548,-20.02807,-20.15138,-20.50754,-18.11651,-18.77804,0.99954,1.50642,0.37595,0.50688,0.13093,0.3604,0.66153,0.64284,-0.01869,1.64238,0.98085,2.01833,1.3568,2.14926,1.48773,2.50966,1.84813,0.06234"
573,",1671,53446,605,19.654,18.22838,17.51399,17.09242,16.78409,21.02638,19.87998,-17.76747,-19.17192,-19.94637,-20.38501,-20.67576,-16.5557,-17.7021,1.42562,2.56158,0.71439,1.13596,0.42157,0.30833,1.1464,1.37238,0.22598,2.798,1.6516,3.51239,2.36599,3.93396,2.78756,4.24229,3.09589,0.07356"
574,",1672,53460,536,18.64709,17.70494,17.36078,17.03938,16.96431,19.35941,19.24895,-18.73788,-19.65915,-20.05265,-20.36858,-20.43641,-18.15787,-18.26833,0.94215,1.60771,0.34416,0.66556,0.3214,0.07507,0.11046,0.71232,0.60186,1.65447,1.54401,1.99863,1.88817,2.32003,2.20957,2.3951,2.28464,0.07151"
575,",1673,53462,273,18.8869,17.7496,17.24155,16.94291,16.77689,19.71735,19.42415,-18.48516,-19.60066,-20.1647,-20.47021,-20.62238,-17.80131,-18.09451,1.1373,1.94399,0.50805,0.80669,0.29864,0.16602,0.2932,0.83045,0.53725,1.96775,1.67455,2.4758,2.1826,2.77444,2.48124,2.94046,2.64726,0.07155"
576,",1674,53464,572,19.44562,18.19763,17.54358,17.18442,16.9703,21.60894,20.81407,-17.98656,-19.21388,-19.9253,-20.3015,-20.49605,-15.97861,-16.77348,1.24799,2.2612,0.65405,1.01321,0.35916,0.21412,0.79487,2.16332,1.36845,3.41131,2.61644,4.06536,3.27049,4.42452,3.62965,4.63864,3.84377,0.07374"
577,",1680,53171,244,18.63534,17.555,17.20668,16.70753,16.53174,20.18726,19.88,-18.48414,-19.53695,-19.94786,-20.44113,-20.60977,-17.07202,-17.37927,1.08034,1.92781,0.34832,0.84747,0.49915,0.17579,0.30726,1.55192,1.24466,2.63226,2.325,2.98058,2.67332,3.47973,3.17247,3.65552,3.34826,0.06385"
578,",1681,53172,596,18.89338,17.79568,17.34609,16.97471,16.52666,20.52364,19.8617,-18.13911,-19.20681,-19.7279,-20.1001,-20.53886,-16.66231,-17.32424,1.0977,1.91867,0.44959,0.82097,0.37138,0.44805,0.66194,1.63026,0.96832,2.72796,2.06602,3.17755,2.51561,3.54893,2.88699,3.99698,3.33504,0.06182"
579,",1682,53173,626,19.7671,17.84733,16.93986,16.53334,16.24065,23.44582,23.25479,-17.43657,-19.32869,-20.31775,-20.76333,-21.02616,-13.94917,-14.1402,1.91977,3.23376,0.90747,1.31399,0.40652,0.29269,0.19103,3.67872,3.48769,5.59849,5.40746,6.50596,6.31493,6.91248,6.72145,7.20517,7.01414,0.06777"
580,",1683,53436,192,19.60571,18.24266,17.6204,17.27419,17.0698,20.88342,20.29491,-17.77016,-19.11111,-19.7932,-20.15253,-20.3407,-16.64833,-17.23684,1.36305,2.33152,0.62226,0.96847,0.34621,0.20439,0.58851,1.27771,0.6892,2.64076,2.05225,3.26302,2.67451,3.60923,3.02072,3.81362,3.22511,0.07196"
581,",1683,53436,239,18.81132,17.81175,17.36503,17.08074,16.91772,19.76319,19.62077,-17.7975,-18.75806,-19.295,-19.58214,-19.73426,-17.01129,-17.15371,0.99957,1.73058,0.44672,0.73101,0.28429,0.16302,0.14242,0.95187,0.80945,1.95144,1.80902,2.39816,2.25574,2.68245,2.54003,2.84547,2.70305,0.05154"
582,",1683,53436,256,20.04152,18.25676,17.4374,17.0835,16.8086,21.93372,22.05857,-17.35581,-19.11838,-20.00292,-20.38142,-20.63486,-15.63386,-15.50901,1.78476,2.95802,0.81936,1.17326,0.3539,0.2749,-0.12485,1.8922,2.01705,3.67696,3.80181,4.49632,4.62117,4.85022,4.97507,5.12512,5.24997,0.0731"
583,",1684,53239,457,19.24069,18.09353,17.52979,17.18279,16.92602,20.4968,20.09726,-17.93618,-19.05633,-19.68925,-20.04858,-20.28902,-16.84013,-17.23968,1.14716,2.0579,0.56374,0.91074,0.347,0.25677,0.39954,1.25611,0.85657,2.40327,2.00373,2.96701,2.56747,3.31401,2.91447,3.57078,3.17124,0.06607"
584,",1685,53463,208,18.83485,17.86156,17.42836,17.1405,16.97768,20.15809,19.83801,-17.86894,-18.80518,-19.32386,-19.61545,-19.76562,-16.70689,-17.02697,0.97329,1.69435,0.4332,0.72106,0.28786,0.16282,0.32008,1.32324,1.00316,2.29653,1.97645,2.72973,2.40965,3.01759,2.69751,3.18041,2.86033,0.05365"
585,",1688,53462,277,19.18729,17.79491,16.96262,16.60804,16.29209,18.3042,17.48708,-17.61231,-18.96774,-19.90295,-20.31595,-20.58504,-18.70433,-19.52146,1.39238,2.57925,0.83229,1.18687,0.35458,0.31595,0.81712,-0.88309,-1.70021,0.50929,-0.30783,1.34158,0.52446,1.69616,0.87904,2.01211,1.19499,0.05717"
586,",1689,53177,421,19.01625,17.76556,17.16178,16.8363,16.60462,20.75896,20.00912,-18.26452,-19.49068,-20.15934,-20.52536,-20.71344,-16.68089,-17.43073,1.25069,2.17995,0.60378,0.92926,0.32548,0.23168,0.74984,1.74271,0.99287,2.9934,2.24356,3.59718,2.84734,3.92266,3.17282,4.15434,3.4045,0.06912"
587,",1691,53260,152,18.72612,17.68367,17.1651,16.80246,16.65193,21.04015,20.09248,-18.35423,-19.36752,-19.95843,-20.37368,-20.46611,-16.19955,-17.14722,1.04245,1.92366,0.51857,0.88121,0.36264,0.15053,0.94767,2.31403,1.36636,3.35648,2.40881,3.87505,2.92738,4.23769,3.29002,4.38822,3.44055,0.0633"
588,",1692,53473,363,17.88035,17.10261,16.81404,16.51132,16.479,20.02328,18.63501,-19.2287,-19.97891,-20.32778,-20.66908,-20.64711,-17.21933,-18.6076,0.77774,1.36903,0.28857,0.59129,0.30272,0.03232,1.38827,2.14293,0.75466,2.92067,1.5324,3.20924,1.82097,3.51196,2.12369,3.54428,2.15601,0.06338"
589,",1693,53446,553,19.1298,17.82227,17.20379,16.85274,16.67113,20.93911,20.5957,-18.14114,-19.42383,-20.10834,-20.50893,-20.63855,-16.49271,-16.83613,1.30753,2.27706,0.61848,0.96953,0.35105,0.18161,0.34341,1.80931,1.4659,3.11684,2.77343,3.73532,3.39191,4.08637,3.74296,4.26798,3.92457,0.06888"
590,",1698,53146,434,19.34291,18.18529,17.58986,17.20486,17.01133,20.23336,20.54235,-17.84225,-18.97294,-19.63842,-20.04014,-20.21419,-17.11462,-16.80562,1.15762,2.13805,0.59543,0.98043,0.385,0.19353,-0.30899,0.89045,1.19944,2.04807,2.35706,2.6435,2.95249,3.0285,3.33749,3.22203,3.53102,0.06639"
591,",1701,53142,390,18.96967,17.89737,17.39316,17.03167,16.88051,20.55068,19.80703,-18.39626,-19.44662,-20.00703,-20.37802,-20.51259,-16.96179,-17.70544,1.0723,1.938,0.50421,0.8657,0.36149,0.15116,0.74365,1.58101,0.83736,2.65331,1.90966,3.15752,2.41387,3.51901,2.77536,3.67017,2.92652,0.07136"
