plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction
545,52202,290,0.3618,1.0154,1.4900,0.1540
546,52205,124,0.1857,0.8719,1.3290,0.1370
547,51959,465,0.2460,1.7842,1.3470,-0.0800
547,51959,499,0.8888,1.7429,1.3690,0.0280
548,51986,247,0.2722,2.7279,1.2780,0.2590
548,51986,513,3.6228,2.1563,1.2600,0.1010
549,51981,440,0.6979,1.4801,1.5400,0.0260
552,51992,509,0.7525,2.2469,1.2180,0.3340
559,52316,402,1.1569,2.1665,1.2170,0.2010
567,52252,112,1.1600,2.2955,1.3480,0.0820
569,52264,263,0.9798,4.8854,1.2090,0.2360
569,52264,281,0.6056,2.6587,1.2590,0.3460
569,52264,338,0.8373,3.3663,1.2120,0.2440
569,52264,465,0.4031,3.7058,1.2320,0.3690
569,52264,609,3.3422,7.4925,1.1310,0.1630
573,52325,392,0.7942,0.9008,1.5210,0.1000
575,52319,463,0.9161,1.9922,1.2840,0.2400
577,52367,155,1.0851,1.1923,1.3650,0.4010
578,52339,137,0.5177,2.6425,1.4090,0.1480
581,52356,436,0.8177,2.5269,1.4030,0.2710
585,52027,362,0.4013,1.9556,1.2910,0.3580
586,52023,36,0.3434,0.6262,1.4200,0.8350
586,52023,253,1.3153,2.6997,1.1620,0.4300
589,52055,529,0.6436,2.0963,1.2500,0.5770
591,52022,71,0.8772,4.5260,1.1970,0.6370
591,52022,121,1.1253,3.8378,1.1810,0.6290
592,52025,235,0.5104,1.4731,1.3790,0.1240
598,52316,223,1.1334,2.2641,1.1660,0.2970
599,52317,447,0.4735,1.8359,1.2430,0.4740
601,52316,461,0.8358,1.9431,1.2770,0.3870
604,52079,200,0.4578,2.5846,1.1850,0.5820
607,52368,97,1.5849,2.9882,1.1700,0.3400
607,52368,265,1.3564,1.4990,1.3190,0.8820
607,52368,512,0.4571,2.3938,1.2360,0.2820
608,52081,543,0.4632,1.9091,1.5280,0.1490
