Objid,plate,mjd,fiberid,ra,dec,fiberMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,fuv_mag,nuv_mag,dered_u,dered_g,dered_r,dered_i,dered_z,petroR90_r,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,fuv_magerr,nuv_magerr,e_bv,s2n_r,sn_fuv_auto,survey,morph_type
587739458294972561,2122,54178,509,211.199,29.6422,18.02084,19.73351,18.3473,17.71678,17.37007,17.11094,21.42101,20.53719,19.65423,18.28897,17.67447,17.33799,17.0882,3.309235,0.04979326,0.007346453,0.006448469,0.006794481,0.01727238,0.3256861,0.1043106,0.01519041,18.8018,3.334499,AIS,3
587730023863877688,1827,53531,330,216.3512,7.306391,17.1667,18.58632,17.54817,17.00044,16.60793,16.41902,20.45206,19.70007,18.47401,17.46553,16.94051,16.56248,16.3868,3.022816,0.0233066,0.005457568,0.0051911,0.004757307,0.01325381,0.1273209,0.0529979,0.02149707,26.9193,8.529625,AIS,3
587726878881349947,717,52468,543,330.9988,-8.089525,17.77865,19.87995,18.37244,17.65187,17.21166,16.88084,21.40512,20.84625,19.6958,18.23694,17.5536,17.13714,16.82801,3.277448,0.07112166,0.008722183,0.006728617,0.00682119,0.01982816,0.3034535,0.1774466,0.0356558,19.9189,3.578802,AIS,3
588017603610411147,1370,53090,32,184.3319,44.02906,17.95702,19.25541,18.16606,17.74028,17.43065,17.28847,20.43932,19.95027,19.18823,18.11663,17.70443,17.40347,17.2692,2.580389,0.03071428,0.007978282,0.006952697,0.007705345,0.01612479,0.2307502,0.1233882,0.013057,21.4137,4.706388,AIS,3
587734893820641400,1220,52723,596,165.6102,10.08812,17.66566,18.64809,17.69464,17.20395,16.87646,16.63687,20.16019,19.99399,18.49463,17.58172,17.12205,16.81436,16.59284,3.169724,0.02549681,0.005858878,0.005570264,0.006353987,0.01473434,0.1833695,0.1346187,0.02969198,21.7261,5.922469,AIS,3
587733424406921330,1159,52669,151,210.9671,57.30622,17.69954,19.67113,18.23405,17.51653,17.13644,16.9158,21.20999,20.80443,19.6056,18.18583,17.48156,17.10992,16.897,3.364338,0.0542293,0.007230418,0.006849489,0.006602935,0.02183625,0.2612719,0.1519756,0.01274332,22.94,4.15659,AIS,3
587736542016438290,1809,53792,249,210.9677,8.651054,17.58936,18.63367,17.58397,17.20955,16.95238,16.79424,19.8909,19.40572,18.51309,17.49525,17.1452,16.90359,16.75964,2.861434,0.02340299,0.005375432,0.005236373,0.005529234,0.01389818,0.1733796,0.06644038,0.02325469,27.1308,6.263713,AIS,3
587734623782961322,1213,52972,331,138.4263,38.06302,17.9771,19.59258,18.3625,17.8018,17.39205,17.16042,21.38253,21.08455,19.4655,18.26899,17.73399,17.34062,17.12396,3.208173,0.04630678,0.007867748,0.007804384,0.00821136,0.02057812,0.3609162,0.15123,0.02384403,17.0951,3.009009,AIS,3
587726033312415911,504,52316,549,157.4625,2.646928,17.78354,19.77196,18.36217,17.69103,17.26797,16.99266,20.92406,20.50284,19.5583,18.20496,17.57701,17.18151,16.93136,3.137076,0.05371492,0.009087365,0.007159688,0.007752718,0.01742555,0.2201168,0.147795,0.04191915,17.8743,4.933745,AIS,3
587732771057238220,1232,52731,317,186.5273,9.637172,18.30809,18.62453,17.77664,17.58874,17.33678,17.29495,19.25773,19.02291,18.50522,17.68886,17.52507,17.2885,17.26072,3.309204,0.02280185,0.00577234,0.006244125,0.006679844,0.01987108,0.1256012,0.0606685,0.02303704,14.9637,8.646415,AIS,3
588017605222072500,1372,53062,394,187.8079,45.24341,17.6153,19.77026,18.26923,17.5362,17.12602,16.81112,21.92363,21.28816,19.69191,18.21158,17.49439,17.09431,16.78865,3.242105,0.05676227,0.006936065,0.005667194,0.005565565,0.01439392,0.514842,0.3224547,0.01488794,20.0592,2.109385,AIS,3
587732054312091986,861,52318,223,122.1998,31.26251,18.10618,19.28015,18.22577,17.77947,17.42377,17.27206,19.97742,19.6403,19.06515,18.06758,17.66473,17.33677,17.21037,3.437103,0.04194662,0.00678668,0.006582234,0.007048033,0.02176942,0.1724193,0.07879754,0.04198023,15.6867,6.298601,AIS,3
587725469055779074,439,51877,633,124.2215,45.15345,17.29387,19.28172,17.93796,17.16599,16.70705,16.3976,22.10284,21.12642,18.98943,17.7229,17.01001,16.58878,16.31374,3.202947,0.04000567,0.008467828,0.005897063,0.005217355,0.01120596,0.3321703,0.1774681,0.05718692,26.7966,3.269407,AIS,3
587733398114468041,1692,53473,363,253.6326,27.10288,17.23223,18.38932,17.43767,17.05431,16.69109,16.59355,20.72874,19.40412,17.92035,17.09261,16.80405,16.50132,16.459,2.534206,0.02040204,0.005174047,0.004793209,0.004980615,0.01221974,0.1929008,0.0704138,0.08882438,30.8297,5.629837,AIS,3
587735240100872322,1270,52991,252,131.3607,30.00354,18.51468,18.87199,18.09725,17.94378,17.53983,17.55824,19.95346,19.73624,18.61012,17.90457,17.80403,17.43386,17.4831,3.415428,0.03029506,0.00715034,0.007737657,0.007137435,0.02199266,0.1176933,0.08040478,0.05044008,14.1357,9.227371,AIS,3
587741490899451989,2296,53735,472,144.925,24.42114,17.65321,18.8279,17.64768,17.17557,16.84243,16.69016,19.82285,19.47327,18.70676,17.55854,17.11092,16.79341,16.65541,3.117453,0.02630429,0.006785037,0.005688656,0.006429852,0.01656705,0.1580611,0.08064192,0.02352251,23.5465,6.870759,AIS,3
587741830191841425,2477,54058,329,159.5115,23.65638,17.65108,19.31766,17.94799,17.33726,17.02245,16.80031,20.79627,19.98997,19.19976,17.86124,17.27435,16.97474,16.76649,3.174505,0.03457045,0.006881909,0.005971511,0.006378611,0.01461343,0.276291,0.1579602,0.02274509,24.7654,3.930639,AIS,3
587724241234362486,464,51908,166,59.38394,-5.993785,17.70282,19.14455,18.09571,17.4825,17.07754,16.86326,20.92226,20.19845,18.55409,17.66126,17.16739,16.83861,16.69386,3.013803,0.03407926,0.007161044,0.006146677,0.006290086,0.01658379,0.3508748,0.1826929,0.1157238,29.2948,3.095121,AIS,3
587739507158220911,2006,53476,144,195.7543,33.1334,17.95055,19.37176,18.3037,17.75784,17.39073,17.22232,20.50105,20.71054,19.32212,18.26717,17.73135,17.37065,17.20808,3.118939,0.04010008,0.008513179,0.006653121,0.007324005,0.01668265,0.2082442,0.1852843,0.009626764,20.219,5.215031,AIS,3
588848901002625223,305,51613,486,216.9917,0.714711,17.7914,19.32764,18.20867,17.6864,17.29947,17.11387,21.32733,20.38903,19.1552,18.08179,17.59437,17.22969,17.06439,2.602297,0.02774384,0.006738651,0.006423503,0.007914916,0.01507026,0.3887718,0.1799142,0.03349738,24.2543,2.793413,AIS,3
587731872852344958,893,52589,618,126.2685,38.53161,18.17483,18.94552,17.98099,17.83216,17.63991,17.56539,19.78366,19.57923,18.75542,17.84111,17.7307,17.56298,17.51084,2.542974,0.03470836,0.006291673,0.006649068,0.006859704,0.01864903,0.1810032,0.1118849,0.03709133,21.2592,5.999893,AIS,3
587739610233700431,1974,53430,425,173.0505,32.84198,19.45962,19.66028,18.90744,19.12921,18.7998,18.91327,19.82979,19.95166,19.53915,18.81832,19.06457,18.75079,18.87852,2.404493,0.04587433,0.01091608,0.01488706,0.01840372,0.0609196,0.1795066,0.1221402,0.02367867,8.52551,6.049917,AIS,3
587728880882614392,581,52356,436,166.5866,5.238145,17.92786,19.90993,18.48846,17.7622,17.37592,17.10715,21.29186,20.98876,19.70359,18.33664,17.65208,17.29242,17.04795,3.310365,0.05417355,0.008591213,0.006645539,0.006917112,0.014335,0.3374683,0.1639793,0.04001831,24.7787,3.21808,AIS,3
587733079738286097,1017,52706,14,180.8056,54.09913,17.47043,18.54678,17.51603,17.13256,16.84256,16.67386,19.86384,19.40714,18.46437,17.45539,17.08857,16.80921,16.65022,3.062609,0.0256354,0.006482906,0.006511846,0.007678148,0.01309408,0.1406269,0.06795111,0.01599889,23.7444,7.722563,AIS,3
588018057259778131,1671,53446,605,213.1786,50.20764,17.62891,19.7861,18.28614,17.55314,17.11969,16.79051,21.1719,20.03862,19.694,18.21838,17.50399,17.08242,16.76409,3.086499,0.05529947,0.007981298,0.006177744,0.006213816,0.01524919,0.3551003,0.2227051,0.01832172,21.2256,3.058291,AIS,3
587738947748823118,1973,53432,629,159.5229,37.54642,17.78809,18.93888,17.86836,17.36732,17.04231,16.86351,20.08013,19.62088,18.83948,17.79522,17.31428,17.00209,16.835,3.336072,0.03112945,0.005967266,0.005516856,0.005799192,0.01669685,0.1999334,0.118817,0.0191503,21.6532,5.431809,AIS,3
587741710491910272,2216,53795,446,170.743,27.93501,17.08277,19.74974,17.88823,17.033,16.62108,16.3171,22.25678,21.84911,19.67229,17.83124,16.99167,16.58975,16.29488,3.212675,0.04773253,0.005949903,0.004698093,0.005234726,0.01078997,0.4208168,0.3080158,0.0150982,26.5058,2.580696,AIS,3
587732703937233023,997,52734,532,154.5718,7.530457,17.85757,18.82945,17.76713,17.31708,16.99183,16.85457,20.06207,19.69575,18.69477,17.66803,17.2452,16.93733,16.81593,3.490107,0.03133291,0.005916295,0.005458419,0.005758071,0.01391995,0.1162373,0.05731098,0.02606276,19.4003,9.342958,AIS,3
587726879953780981,644,52149,528,328.0953,-6.796937,17.47029,18.48846,17.59079,17.2526,16.84149,16.75702,19.80741,19.14386,18.34168,17.48279,17.17427,16.78209,16.71491,2.70393,0.02308785,0.005415566,0.005115329,0.005307649,0.01395825,0.1261047,0.0662639,0.02865988,29.5281,8.611895,AIS,3
