plate,mjd,fiberid
1267,52932,458
1268,52933,537
1270,52991,252
1275,52996,187
1276,53035,250
1277,52765,327
1281,52753,3
1281,52753,257
1281,52753,529
1283,52762,384
1283,52762,396
1286,52725,397
1288,52731,493
1289,52734,581
1290,52734,36
1290,52734,62
1296,52962,253
1300,52973,382
1302,52763,219
1307,52999,378
1308,53053,264
1310,53033,633
1311,52765,400
1313,52790,324
1314,53050,189
1314,53050,192
1314,53050,522
1315,52791,308
1315,52791,309
1318,52781,60
1318,52781,582
1319,52791,401
1321,52764,19
1322,52791,510
1322,52791,614
1324,53088,270
1328,52786,457
1329,52767,160
1329,52767,476
1330,52822,493
1331,52766,139
1331,52766,520
1333,52782,234
1334,52764,427
1335,52824,290
1335,52824,391
1336,52759,52
1339,52767,462
1343,52790,290
1344,52792,70
1345,52814,357
1356,53033,157
1356,53033,386
1357,53034,479
1359,53002,214
1359,53002,355
1360,53033,242
1360,53033,377
1361,53047,152
1361,53047,612
1362,53050,243
1363,53053,55
1363,53053,411
1363,53053,599
1364,53061,153
1364,53061,216
1364,53061,313
1364,53061,365
1364,53061,471
1366,53063,35
1368,53084,257
1368,53084,435
1369,53089,579
1370,53090,32
1370,53090,478
1371,52821,455
1372,53062,288
1372,53062,394
1373,53063,163
1376,53089,35
1376,53089,250
1377,53050,564
1378,53061,206
1379,53084,37
1379,53084,149
1379,53084,157
1379,53084,446
1379,53084,552
1380,53084,19
1384,53121,574
1385,53108,414
1389,53135,75
1390,53142,532
1391,52817,610
1392,52822,3
1394,53108,294
1398,53146,370
1400,53470,194
1400,53470,401
1401,53144,397
1403,53227,407
1403,53227,469
1404,52825,506
1409,52824,30
1409,52824,128
1417,53141,482
1419,53144,132
1419,53144,206
1423,53167,370
1425,52913,308
1425,52913,488
1426,52993,229
1427,52996,446
1428,52998,407
1429,52990,554
1430,53002,351
1431,52992,556
1436,53054,225
1436,53054,624
1437,53046,20
1438,53054,209
1439,53003,117
1439,53003,177
1442,53050,451
1442,53050,485
1443,53055,179
1445,53062,543
1450,53120,411
1452,53112,450
1453,53084,168
1454,53090,62
1454,53090,148
1455,53089,375
1456,53115,353
1456,53115,564
1457,53116,504
1460,53138,29
1460,53138,92
1462,53112,416
1463,53063,162
1463,53063,307
1464,53091,629
1465,53082,158
1465,53082,290
1465,53082,555
1473,52908,257
1474,52933,204
1485,52992,332
1485,52992,376
1486,52993,71
1486,52993,523
1486,52993,607
1490,52994,61
1490,52994,77
1490,52994,425
1491,52996,424
1491,52996,473
1491,52996,526
1492,52932,121
1492,52932,198
1492,52932,383
1492,52932,387
1493,52933,377
1494,52937,4
1494,52937,40
1494,52937,248
1494,52937,383
1494,52937,509
1495,52944,88
1495,52944,179
1496,52883,73
1496,52883,163
1496,52883,465
1496,52883,468
1497,52886,333
1498,52914,473
1498,52914,578
1499,53001,24
1499,53001,33
1499,53001,332
1499,53001,510
1502,53741,19
1502,53741,501
1505,52941,371
1505,52941,458
1506,53003,43
