#lambda       q_CCM       q_CAL       q_HZ1       q_HZ2       q_HZ3       q_HZ4       q_HZ5       q_GD1       q_GD2       q_GD3
 1077.0     4.40431     0.00000     3.85000     3.79208     4.75737     7.32794     3.33828     0.00000     0.00000     0.00000
 1078.0     4.39571     0.00000     3.84545     3.78759     4.74991     7.32112     3.33547     0.00000     0.00000     0.00000
 1079.0     4.38715     0.00000     3.84091     3.78309     4.74245     7.31430     3.33266     0.00000     0.00000     0.00000
 1080.0     4.37865     0.00000     3.83636     3.77860     4.73499     7.30748     3.32985     0.00000     0.00000     0.00000
 1081.0     4.37018     0.00000     3.83182     3.77410     4.72752     7.30067     3.32704     0.00000     0.00000     0.00000
 1082.0     4.36176     0.00000     3.82727     3.76961     4.72006     7.29385     3.32423     0.00000     0.00000     0.00000
 1083.0     4.35338     0.00000     3.82273     3.76511     4.71260     7.28703     3.32141     0.00000     0.00000     0.00000
 1084.0     4.34504     0.00000     3.81818     3.76062     4.70514     7.28021     3.31860     0.00000     0.00000     0.00000
 1085.0     4.33675     0.00000     3.81364     3.75613     4.69768     7.27339     3.31579     0.00000     0.00000     0.00000
 1086.0     4.32850     0.00000     3.80909     3.75163     4.69022     7.26658     3.31298     0.00000     0.00000     0.00000
 1087.0     4.32029     0.00000     3.80455     3.74714     4.68275     7.25976     3.31017     0.00000     0.00000     0.00000
 1088.0     4.31212     0.00000     3.80000     3.74264     4.67529     7.25294     3.30736     0.00000     0.00000     0.00000
 1089.0     4.30400     0.00000     3.79545     3.73815     4.66783     7.24612     3.30454     0.00000     0.00000     0.00000
 1090.0     4.29591     0.00000     3.79091     3.73365     4.66037     7.23930     3.30173     0.00000     0.00000     0.00000
 1091.0     4.28786     0.00000     3.78636     3.72916     4.65291     7.23248     3.29892     0.00000     0.00000     0.00000
 1092.0     4.27986     0.00000     3.78182     3.72466     4.64545     7.22567     3.29611     0.00000     0.00000     0.00000
 1093.0     4.27189     0.00000     3.77727     3.72017     4.63798     7.21885     3.29330     0.00000     0.00000     0.00000
 1094.0     4.26397     0.00000     3.77273     3.71568     4.63052     7.21203     3.29048     0.00000     0.00000     0.00000
 1095.0     4.25608     0.00000     3.76818     3.71118     4.62306     7.20521     3.28767     0.00000     0.00000     0.00000
 1096.0     4.24823     0.00000     3.76364     3.70669     4.61560     7.19839     3.28486     0.00000     0.00000     0.00000
 1097.0     4.24042     0.00000     3.75909     3.70219     4.60814     7.19158     3.28205     0.00000     0.00000     0.00000
 1098.0     4.23264     0.00000     3.75455     3.69770     4.60068     7.18476     3.27924     0.00000     0.00000     0.00000
 1099.0     4.22491     0.00000     3.75000     3.69320     4.59321     7.17794     3.27643     0.00000     0.00000     0.00000
 1100.0     4.21721     0.00000     3.74545     3.68871     4.58575     7.17112     3.27361     0.00000     0.00000     0.00000
 1101.0     4.20954     0.00000     3.74091     3.68421     4.57829     7.16430     3.27080     0.00000     0.00000     0.00000
 1102.0     4.20192     0.00000     3.73636     3.67972     4.57083     7.15749     3.26799     0.00000     0.00000     0.00000
 1103.0     4.19433     0.00000     3.73182     3.67523     4.56337     7.15067     3.26518     0.00000     0.00000     0.00000
 1104.0     4.18678     0.00000     3.72727     3.67073     4.55591     7.14385     3.26237     0.00000     0.00000     0.00000
 1105.0     4.17926     0.00000     3.72273     3.66624     4.54844     7.13703     3.25956     0.00000     0.00000     0.00000
 1106.0     4.17177     0.00000     3.71818     3.66174     4.54098     7.13021     3.25674     0.00000     0.00000     0.00000
 1107.0     4.16433     0.00000     3.71364     3.65725     4.53352     7.12339     3.25393     0.00000     0.00000     0.00000
 1108.0     4.15691     0.00000     3.70909     3.65275     4.52606     7.11658     3.25112     0.00000     0.00000     0.00000
 1109.0     4.14953     0.00000     3.70455     3.64826     4.51860     7.10976     3.24831     0.00000     0.00000     0.00000
 1110.0     4.14219     0.00000     3.70000     3.64376     4.51114     7.10294     3.24550     0.00000     0.00000     0.00000
 1111.0     4.13487     0.00000     3.69714     3.63927     4.50367     7.09612     3.24268     0.00000     0.00000     0.00000
 1112.0     4.12760     0.00000     3.69429     3.63478     4.49621     7.08930     3.23987     0.00000     0.00000     0.00000
 1113.0     4.12035     0.00000     3.69143     3.63028     4.48875     7.08249     3.23706     0.00000     0.00000     0.00000
 1114.0     4.11314     0.00000     3.68857     3.62579     4.48129     7.07567     3.23425     0.00000     0.00000     0.00000
 1115.0     4.10596     0.00000     3.68571     3.62129     4.47383     7.06885     3.23144     0.00000     0.00000     0.00000
 1116.0     4.09881     0.00000     3.68286     3.61680     4.46637     7.06203     3.22863     0.00000     0.00000     0.00000
 1117.0     4.09169     0.00000     3.68000     3.61230     4.45890     7.05521     3.22581     0.00000     0.00000     0.00000
 1118.0     4.08461     0.00000     3.67714     3.60781     4.45144     7.04839     3.22300     0.00000     0.00000     0.00000
 1119.0     4.07755     0.00000     3.67429     3.60331     4.44398     7.04158     3.22019     0.00000     0.00000     0.00000
 1120.0     4.07053     0.00000     3.67143     3.59882     4.43652     7.03476     3.21738     0.00000     0.00000     0.00000
 1121.0     4.06354     0.00000     3.66857     3.59433     4.42906     7.02794     3.21457     0.00000     0.00000     0.00000
 1122.0     4.05657     0.00000     3.66571     3.58983     4.42160     7.02112     3.21176     0.00000     0.00000     0.00000
 1123.0     4.04964     0.00000     3.66286     3.58534     4.41413     7.01430     3.20894     0.00000     0.00000     0.00000
 1124.0     4.04274     0.00000     3.66000     3.58084     4.40667     7.00749     3.20613     0.00000     0.00000     0.00000
 1125.0     4.03587     0.00000     3.65714     3.57635     4.39921     7.00067     3.20332     0.00000     0.00000     0.00000
 1126.0     4.02903     0.00000     3.65429     3.57185     4.39175     6.99385     3.20051     0.00000     0.00000     0.00000
 1127.0     4.02221     0.00000     3.65143     3.56736     4.38429     6.98703     3.19770     0.00000     0.00000     0.00000
 1128.0     4.01542     0.00000     3.64857     3.56286     4.37683     6.98021     3.19489     0.00000     0.00000     0.00000
 1129.0     4.00867     0.00000     3.64571     3.55837     4.36936     6.97339     3.19207     0.00000     0.00000     0.00000
 1130.0     4.00194     0.00000     3.64286     3.55388     4.36190     6.96658     3.18926     0.00000     0.00000     0.00000
 1131.0     3.99524     0.00000     3.64000     3.54938     4.35444     6.95976     3.18645     0.00000     0.00000     0.00000
 1132.0     3.98856     0.00000     3.63714     3.54489     4.34698     6.95294     3.18364     0.00000     0.00000     0.00000
 1133.0     3.98192     0.00000     3.63429     3.54039     4.33952     6.94612     3.18083     0.00000     0.00000     0.00000
 1134.0     3.97530     0.00000     3.63143     3.53590     4.33206     6.93930     3.17801     0.00000     0.00000     0.00000
 1135.0     3.96871     0.00000     3.62857     3.53140     4.32459     6.93249     3.17520     0.00000     0.00000     0.00000
 1136.0     3.96214     0.00000     3.62571     3.52691     4.31713     6.92567     3.17239     0.00000     0.00000     0.00000
 1137.0     3.95560     0.00000     3.62286     3.52241     4.30967     6.91885     3.16958     0.00000     0.00000     0.00000
 1138.0     3.94909     0.00000     3.62000     3.51792     4.30221     6.91203     3.16677     0.00000     0.00000     0.00000
 1139.0     3.94260     0.00000     3.61714     3.51343     4.29475     6.90521     3.16396     0.00000     0.00000     0.00000
 1140.0     3.93614     0.00000     3.61429     3.50893     4.28729     6.89839     3.16114     0.00000     0.00000     0.00000
 1141.0     3.92970     0.00000     3.61143     3.50444     4.27982     6.89158     3.15833     0.00000     0.00000     0.00000
 1142.0     3.92329     0.00000     3.60857     3.49994     4.27236     6.88476     3.15552     0.00000     0.00000     0.00000
 1143.0     3.91690     0.00000     3.60571     3.49545     4.26490     6.87794     3.15271     0.00000     0.00000     0.00000
 1144.0     3.91054     0.00000     3.60286     3.49095     4.25744     6.87112     3.14990     0.00000     0.00000     0.00000
 1145.0     3.90421     0.00000     3.60000     3.48646     4.24998     6.86430     3.14708     0.00000     0.00000     0.00000
 1146.0     3.89789     0.00000     3.59714     3.48196     4.24252     6.85749     3.14427     0.00000     0.00000     0.00000
 1147.0     3.89160     0.00000     3.59429     3.47747     4.23505     6.85067     3.14146     0.00000     0.00000     0.00000
 1148.0     3.88534     0.00000     3.59143     3.47298     4.22759     6.84385     3.13865     0.00000     0.00000     0.00000
 1149.0     3.87910     0.00000     3.58857     3.46848     4.22013     6.83703     3.13584     0.00000     0.00000     0.00000
 1150.0     3.87288     0.00000     3.58571     3.46399     4.21267     6.83021     3.13303     0.00000     0.00000     0.00000
 1151.0     3.86668     0.00000     3.58286     3.45949     4.20521     6.82339     3.13021     0.00000     0.00000     0.00000
 1152.0     3.86051     0.00000     3.58000     3.45500     4.19775     6.81658     3.12740     0.00000     0.00000     0.00000
 1153.0     3.85436     0.00000     3.57714     3.45050     4.19028     6.80976     3.12459     0.00000     0.00000     0.00000
 1154.0     3.84823     0.00000     3.57429     3.44601     4.18282     6.80294     3.12178     0.00000     0.00000     0.00000
 1155.0     3.84213     0.00000     3.57143     3.44151     4.17536     6.79612     3.11897     0.00000     0.00000     0.00000
 1156.0     3.83604     0.00000     3.56857     3.43702     4.16790     6.78930     3.11616     0.00000     0.00000     0.00000
 1157.0     3.82998     0.00000     3.56571     3.43253     4.16044     6.78249     3.11334     0.00000     0.00000     0.00000
 1158.0     3.82394     0.00000     3.56286     3.42803     4.15298     6.77567     3.11053     0.00000     0.00000     0.00000
 1159.0     3.81792     0.00000     3.56000     3.42354     4.14551     6.76885     3.10772     0.00000     0.00000     0.00000
 1160.0     3.81193     0.00000     3.55714     3.41904     4.13805     6.76203     3.10491     0.00000     0.00000     0.00000
 1161.0     3.80595     0.00000     3.55429     3.41455     4.13059     6.75521     3.10210     0.00000     0.00000     0.00000
 1162.0     3.79999     0.00000     3.55143     3.41005     4.12313     6.74839     3.09929     0.00000     0.00000     0.00000
 1163.0     3.79406     0.00000     3.54857     3.40556     4.11567     6.74158     3.09647     0.00000     0.00000     0.00000
 1164.0     3.78814     0.00000     3.54571     3.40106     4.10821     6.73476     3.09366     0.00000     0.00000     0.00000
 1165.0     3.78225     0.00000     3.54286     3.39657     4.10074     6.72794     3.09085     0.00000     0.00000     0.00000
 1166.0     3.77637     0.00000     3.54000     3.39208     4.09328     6.72112     3.08804     0.00000     0.00000     0.00000
 1167.0     3.77052     0.00000     3.53714     3.38758     4.08582     6.71430     3.08523     0.00000     0.00000     0.00000
